name,id,hand
George Kirby,42406,R
Logan Gilbert,41221,R
Michael Soroka,34984,R
Ryan Yarbrough,33735,R
Stephen Kolek,5190073,R
Clayton Kershaw,28963,L
Noah Cameron,4417208,L
Tony Gonsolin,38958,R
Landon Knack,4417826,R
