name,id,hand
Yoshinobu Yamamoto,4872587,R
Framber Valdez,36581,L
Zack Wheeler,31267,R
Paul Skenes,4719507,R
Garrett Crochet,4297835,L
Logan Webb,41216,R
Carlos Rodon,33696,L
Luis Severino,33263,R
Jose Berrios,32811,R
Max Fried,32685,L
Ryan Pepiot,4208281,R
Nathan Eovaldi,31174,R
Jose Soriano,40973,R
Tarik Skubal,42409,L
Mackenzie Gore,39636,L
Kris Bubic,41201,L
Jake Irvin,41290,R
Spencer Schwellenbach,4424862,R
Chris Sale,30948,L
Hunter Brown,4717803,R
Jesus Luzardo,39667,L
Zach Gallen,39910,R
Chris Bassitt,33148,R
Kevin Gausman,32667,R
Tyler Mahle,34973,R
Zack Littell,36052,R
Freddy Peralta,39825,R
Nick Martinez,33372,R
Yusei Kikuchi,41415,L
Grant Holmes,33840,R
