name,id,hand
Matthew Liberatore,41173,L
Merrill Kelly,32968,R
Mitch Keller,33722,R
Tomoyuki Sugano,4142423,R
David Peterson,40921,L
Nick Lodolo,42433,L
Taj Bradley,42480,R
Robbie Ray,32175,L
Jacob DeGrom,32796,R
Jameson Taillon,31258,R
Joe Ryan,42450,R
Tanner Bibee,4345278,R
Davis Martin,42823,R
Michael Lorenzen,33252,R
Erick Fedde,33793,R
Luis Castillo,35124,R
Nick Pivetta,36071,R
Brandon Pfaadt,4721302,R
Sonny Gray,32082,R
Michael Wacha,32640,R
Andre Pallante,4109034,R
Kyle Freeland,33839,L
Matthew Boyd,34401,L
Tyler Anderson,32151,L
Jeffrey Springs,35397,L
Dean Kremer,38295,R
Andrew Heaney,32672,L
Jonathan Cannon,4620398,R
Clay Holmes,32827,R
Shane Baz,39639,R
