name,id,hand
AJ Smith-Shawver,4917640,R
Bryce Elder,4301067,R
Tanner Houck,41009,R
Taijuan Walker,31864,R
Clarke Schmidt,41085,R
Osvaldo Bido,5132624,R
Walker Buehler,39251,R
Zach Eflin,32804,R
Keider Montero,5182933,R
Logan Evans,5202474,R
Roki Sasaki,5134638,R
Jose Quintana,32106,L
Brayan Bello,4720856,R
Bryce Miller,4654313,R
Hunter Dobbins,4415836,R
Ryan Gusto,5131986,R
Chase Dollander,4719068,R
Ranger Suarez,39817,L
Jacob Lopez,42239,L
Spencer Strider,4307825,R
Lucas Giolito,32697,R
Cade Horton,4692526,R
Slade Cecconi,41462,R
Lance McCullers Jr,32764,R
Ryan Weathers,41178,L
Edward Cabrera,40944,R
Aaron Civale,40934,R
Zebby Matthews,4791597,R
Mike Burrows,4918155,R
Hayden Birdsong,5197166,R
